Sample,Activity,Temp,Rep,Bio_rep,Well,Abs
Standard,0,NA,1,NA,A1,0.3898
Standard,0.003125,NA,1,NA,B1,0.324
Standard,0.00625,NA,1,NA,C1,0.2693
Standard,0.0125,NA,1,NA,D1,0.2121
Standard,0.025,NA,1,NA,E1,0.135
Standard,0.05,NA,1,NA,F1,0.0886
Standard,0,NA,2,NA,A2,0.3931
Standard,0.003125,NA,2,NA,B2,0.3357
Standard,0.00625,NA,2,NA,C2,0.2805
Standard,0.0125,NA,2,NA,D2,0.2246
Standard,0.025,NA,2,NA,E2,0.1395
Standard,0.05,NA,2,NA,F2,0.086
BO,NA,25,1,1,A3,0.2373
CH,NA,25,1,1,B3,0.2304
VT10,NA,25,1,1,C3,0.2277
VT12,NA,25,1,1,D3,0.2241
BO,NA,36,1,1,F3,0.1574
CH,NA,36,1,1,E3,0.1813
VT10,NA,36,1,1,G3,0.2246
VT12,NA,36,1,1,H3,0.1789
BO,NA,25,2,1,A4,0.216
CH,NA,25,2,1,B4,0.2073
VT10,NA,25,2,1,C4,0.1568
VT12,NA,25,2,1,D4,0.1837
BO,NA,36,2,1,F4,0.1294
CH,NA,36,2,1,E4,0.1587
VT10,NA,36,2,1,G4,0.1723
VT12,NA,36,2,1,H4,0.1672
BO,NA,25,1,2,A5,0.1688
CH,NA,25,1,2,B5,0.1967
VT10,NA,25,1,2,C5,0.2185
VT12,NA,25,1,2,D5,0.1835
BO,NA,36,1,2,E5,0.1764
CH,NA,36,1,2,F5,0.1928
VT10,NA,36,1,2,G5,0.1884
VT12,NA,36,1,2,H5,0.1803
BO,NA,25,2,2,A6,0.1531
CH,NA,25,2,2,B6,0.183
VT10,NA,25,2,2,C6,0.2244
VT12,NA,25,2,2,D6,0.2197
BO,NA,36,2,2,E6,0.1833
CH,NA,36,2,2,F6,0.1877
VT10,NA,36,2,2,G6,0.1795
VT12,NA,36,2,2,H6,0.1745
BO,NA,25,1,3,A7,0.2726
CH,NA,25,1,3,B7,0.186
VT10,NA,25,1,3,C7,0.2157
VT12,NA,25,1,3,D7,0.1916
BO,NA,36,1,3,E7,0.1959
CH,NA,36,1,3,F7,0.2287
VT10,NA,36,1,3,G7,0.2044
VT12,NA,36,1,3,H7,0.2036
BO,NA,25,2,3,A8,0.1787
CH,NA,25,2,3,B8,0.1835
VT10,NA,25,2,3,C8,0.2015
VT12,NA,25,2,3,D8,0.1861
BO,NA,36,2,3,E8,0.1884
CH,NA,36,2,3,F8,0.2007
VT10,NA,36,2,3,G8,0.2102
VT12,NA,36,2,3,H8,0.202
